 Node Depth Head Moisture K C Flux Sink Kappa v/KsTop Temp Conc(1..NS) Sorb(1...NS)
 1 0.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 2 -20.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 3 -40.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 4 -60.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 5 -80.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 6 -100.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 7 -120.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 8 -140.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 9 -160.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 10 -180.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 11 -200.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 12 -220.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 13 -240.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 14 -260.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 15 -280.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 16 -300.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 17 -320.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 18 -340.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 19 -360.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 20 -380.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 21 -400.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 22 -420.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 23 -440.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 24 -460.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 25 -480.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 26 -500.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 27 -520.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 28 -540.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 29 -560.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 30 -580.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 31 -600.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 32 -620.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 33 -640.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 34 -660.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 35 -680.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 36 -700.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 37 -720.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 38 -740.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 39 -760.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 40 -780.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.4524E+01 0.0000E+00 -1 -0.181E+00 20.00 0.0000E+00 0.0000E+00
 41 -800.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.8582E+01 0.0000E+00 -1 -0.344E+00 20.00 0.0000E+00 0.0000E+00
 42 -820.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 43 -840.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 44 -860.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 45 -880.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 46 -900.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 47 -920.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 48 -940.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 49 -960.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 50 -980.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 51 -1000.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 52 -1020.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 53 -1040.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 54 -1060.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 55 -1080.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 56 -1100.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 57 -1120.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 58 -1140.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 59 -1160.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 60 -1180.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.1061E+02 0.0000E+00 -1 -0.425E+00 20.00 0.0000E+00 0.0000E+00
 61 -1200.0000 0.000 0.4100 0.1061E+03 0.0000E+00 -0.8582E+01 0.0000E+00 -1 -0.344E+00 20.00 0.0000E+00 0.0000E+00
 62 -1220.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.4524E+01 0.0000E+00 -1 -0.181E+00 20.00 0.0000E+00 0.0000E+00
 63 -1240.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 64 -1260.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 65 -1280.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 66 -1300.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 67 -1320.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 68 -1340.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 69 -1360.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 70 -1380.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 71 -1400.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 72 -1420.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 73 -1440.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 74 -1460.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 75 -1480.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 76 -1500.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 77 -1520.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 78 -1540.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 79 -1560.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 80 -1580.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 81 -1600.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
 82 -1620.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.0000E+00 0.0000E+00
