ICP.ID,Group,Sample,Easting,Northing,pH,EC,NO3.N,PO4.P,SO4.S,Cl,Al,As,B,Ba,Ca,Cd,Ce,Cr,Cu,Fe,K,La,Mg,Mn,Na,Ni,P,Pb,S,Si,Sr,Zn
ENVT_3361_wat_1,4,1,391398,6466411,7.82,1096,0.314318,0.015305,305.0118,NA,NA,NA,0.05,0.107,52.007,NA,NA,NA,NA,0.233,7.647,NA,17.304,0.042,95.458,NA,NA,NA,29.754,4.713,0.239,NA
ENVT_3361_wat_2,4,2,391392,6466412,7.63,1005,0.192936,0.001699,326.1588,NA,NA,NA,NA,0.107,51.85,NA,NA,NA,NA,0.11,7.764,NA,17.607,0.039,96.343,NA,NA,NA,30.67,4.695,0.239,NA
ENVT_3361_wat_3,4,3,391396,6466410,7.6,977,0.223307,0.001699,337.8059,NA,NA,NA,NA,0.105,52.369,NA,NA,NA,NA,0.089,7.463,NA,17.433,0.038,96.697,NA,NA,NA,31.539,4.691,0.241,NA
ENVT_3361_wat_4,4,4,391391,6466407,7.63,964,0.190258,0.0034,387.1882,NA,NA,NA,NA,0.107,52.514,NA,NA,NA,NA,0.082,7.75,NA,17.77,0.039,97.136,NA,NA,NA,31.163,4.774,0.242,NA
ENVT_3361_wat_5,4,5,391392,6466414,7.7,979,0.18775,0.0034,344.6294,NA,NA,NA,NA,0.101,53.794,NA,NA,NA,NA,0.088,7.823,NA,18.024,0.039,98.106,NA,0.015,NA,32.238,4.699,0.246,0.005
ENVT_3361_wat_6,4,6,391384,6466410,7.84,957,0.620365,1.40E-06,298.7176,NA,NA,NA,NA,0.106,52.752,NA,NA,NA,NA,0.096,7.596,NA,17.952,0.038,97.335,NA,0.017,NA,32.105,4.745,0.243,NA
ENVT_3361_wat_7,5,1,391334,6466464,6.8,929,NA,NA,NA,NA,NA,NA,NA,0.111,52.286,NA,NA,NA,NA,0.17,7.655,NA,18.182,0.037,98.401,NA,NA,NA,32.335,4.848,0.243,NA
ENVT_3361_wat_8,5,2,391335,6466464.2,6.8,940,NA,NA,NA,NA,NA,NA,NA,0.108,51.523,NA,NA,NA,NA,0.112,7.486,NA,18.016,0.038,96.13,NA,0.014,NA,31.466,4.689,0.24,NA
ENVT_3361_wat_9,5,3,391336,6466464.4,6.82,967,NA,NA,NA,NA,NA,NA,NA,0.111,52.299,NA,NA,NA,NA,0.163,7.736,NA,18.55,0.037,97.997,NA,0.017,NA,31.961,4.804,0.245,NA
ENVT_3361_wat_10,5,4,391337,6466464.6,6.89,967,NA,NA,NA,NA,NA,NA,NA,0.112,51.571,NA,NA,NA,NA,0.155,7.584,NA,18.441,0.038,97.884,NA,NA,NA,31.89,4.79,0.24,NA
ENVT_3361_wat_11,5,7,391338,6466464.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,51.846,NA,NA,NA,NA,0.133,7.744,NA,18.182,0.037,96.94,NA,0.017,NA,31.727,4.745,0.241,NA
ENVT_3361_wat_12,2,1,391333,6466489,7.02,912,0.80015,0.01,NA,NA,NA,NA,NA,0.11,52.152,NA,NA,NA,NA,0.093,7.81,0.005,18.22,0.029,96.606,NA,0.038,NA,31.758,4.81,0.241,NA
ENVT_3361_wat_13,2,2,391337,6466495,6.89,929,0.59575,0.012,NA,NA,NA,NA,NA,0.106,50.641,NA,NA,NA,NA,0.097,7.712,NA,17.81,0.03,94.754,NA,0.031,NA,31.367,4.693,0.237,NA
ENVT_3361_wat_14,2,3,391333,6466495,7.1,910,0.5922,0.101,NA,NA,NA,NA,NA,0.108,51.979,NA,NA,NA,NA,0.142,7.789,NA,18.054,0.036,96.167,NA,0.021,NA,31.433,4.794,0.243,0.007
ENVT_3361_wat_15,2,4,391337,6466491,7.12,916,0.37195,0.016,NA,NA,NA,NA,NA,0.108,51.984,NA,NA,NA,NA,0.158,8.044,0.005,18.245,0.034,97.18,NA,0.013,NA,31.592,4.862,0.242,0.007
ENVT_3361_wat_16,5,5,391334,6466464,NA,NA,NA,NA,NA,NA,0.042,NA,NA,0.111,51.474,NA,NA,NA,NA,0.139,7.611,NA,17.949,0.037,96.509,NA,NA,NA,31.321,4.728,0.237,NA
ENVT_3361_wat_17,5,7,391334,6466464,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,49.878,NA,NA,NA,NA,0.273,7.563,NA,19.082,0.037,98.946,NA,0.024,NA,31.835,4.779,0.231,NA
ENVT_3361_wat_18,3,1,391364,6466472,6.17,917,0.6899,NA,1.885231,NA,NA,NA,NA,0.107,52.614,NA,NA,NA,NA,0.116,7.714,NA,17.533,0.04,94.389,NA,NA,NA,31.306,4.788,0.241,NA
ENVT_3361_wat_19,3,2,391364,6466472,6.77,922,0.28135,NA,1.829454,NA,0.039,NA,NA,0.104,54.971,NA,NA,NA,NA,0.113,7.565,NA,17.062,0.039,93.792,NA,0.028,NA,32.009,4.806,0.249,NA
ENVT_3361_wat_20,7,1,391342,6466453,6.81,890,0.509597697,0.02403251,NA,NA,NA,NA,NA,0.108,52.063,NA,NA,NA,NA,0.111,7.518,0.006,17.859,0.036,94.879,NA,NA,NA,31.319,4.709,0.241,NA
ENVT_3361_wat_21,7,2,391342,6466453,6.81,906,0.485703431,0.02579961,NA,NA,NA,NA,NA,0.107,51.981,NA,NA,NA,NA,0.122,7.533,NA,17.81,0.036,94.449,NA,0.014,NA,31.233,4.687,0.239,NA
ENVT_3361_wat_22,7,3,391342,6466453,6.83,897,0.587099096,0.02579961,NA,NA,NA,NA,NA,0.107,50.903,NA,NA,NA,NA,0.118,7.493,0.005,17.71,0.037,92.94,NA,NA,NA,30.903,4.65,0.239,0.006
ENVT_3361_wat_23,7,4,391342,6466453,6.82,900,0.425017996,0.02403251,NA,NA,NA,NA,NA,0.106,50.95,NA,NA,NA,NA,0.124,7.404,NA,17.484,0.036,93.1,NA,NA,NA,30.485,4.612,0.236,NA
ENVT_3361_wat_24,7,5,391342,6466453,6.81,901,0.48654323,0.02403251,NA,NA,0.042,NA,NA,0.106,50.527,NA,NA,NA,NA,0.127,7.525,NA,17.564,0.036,91.761,NA,NA,NA,30.637,4.67,0.236,NA
ENVT_3361_wat_25,7,6,391342,6466453,8.08,901,0.482744141,0.02403251,NA,NA,NA,NA,NA,0.107,51.419,NA,NA,NA,NA,0.13,7.426,NA,17.655,0.036,93.236,NA,NA,NA,30.827,4.652,0.24,NA
ENVT_3361_wat_26,8,1,391353,6466505,6.86,832.1,NA,NA,35.3217,NA,NA,NA,NA,0.109,51.916,NA,NA,NA,NA,0.115,7.647,0.005,17.922,0.036,95.287,NA,NA,NA,31.287,4.748,0.241,NA
