"Field_ID","ICP_ID","weight","volume","Sample","Easting","Northing","Group","pH","EC","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"N1","ENVT 3361_AR dig_1",0.2473,20,"N1",400220,6468210,4,6.12,2496,45594,9,49,3712,0,119,12,84,212,39937,8,4409,59,46,5038,68,2,13146,44,29,536,46,4364,53,21,84,26,208
"N2","ENVT 3361_AR dig_2",0.2604,20,"N2",400225,6468235,4,6.3,2149,48622,7,55,5164,0,177,14,77,161,40402,12,4559,86,45,5860,74,1,13814,61,28,489,39,4450,65,19,82,41,305
"N3","ENVT 3361_AR dig_3",0.2468,20,"N3",400240,6468205,4,5.76,2329,46989,7,44,4425,0,137,12,76,202,33893,9,4413,67,38,5547,75,1,13530,49,26,469,51,3255,56,22,81,30,262
"N4","ENVT 3361_AR dig_4",0.2544,20,"N4",400240,6468213,4,4.65,6320,43153,7,41,4582,0,129,11,73,184,33025,8,4178,65,35,5570,76,1,14840,46,24,449,51,3742,53,22,80,29,227
"N5","ENVT 3361_AR dig_5",0.2551,20,"N5",400240,6468221,4,5.65,2327,43735,7,49,5046,0,138,15,70,198,35250,9,4384,67,38,5760,84,2,15141,48,25,408,42,4296,58,19,79,30,310
"N6","ENVT 3361_AR dig_6",0.2528,20,"N6",400240,6468229,4,5.87,1676,41685,9,48,6555,0,137,17,69,278,38271,9,4485,66,38,6142,105,2,17335,48,27,435,50,6142,73,18,83,31,353
"N7","ENVT 3361_AR dig_7",0.2486,20,"N7",400240,6468237,4,6,1156,45013,7,52,5688,0,163,15,71,230,37194,10,4360,80,41,5747,89,2,16070,56,27,465,48,5203,66,18,80,38,303
"N8","ENVT 3361_AR dig_8",0.2576,20,"N8",400240,6468245,4,5.84,3090,47600,7,55,5689,0,253,14,74,138,40681,15,4740,126,48,6071,81,2,13784,87,27,456,40,3558,70,16,83,62,246
"N9","ENVT 3361_AR dig_9",0.2459,20,"N9",400240,6468253,5,6.12,5670,47881,6,53,5643,0,271,11,70,113,35236,18,3874,120,47,5487,73,2,13956,98,27,442,41,4385,66,13,81,67,175
"N10","ENVT 3361_AR dig_10",0.2476,20,"N10",400240,6468261,5,6.58,1186,50959,7,55,4759,0,212,12,73,108,38332,13,4069,105,48,5550,79,2,14102,75,28,439,36,3168,63,18,81,51,172
"N11","ENVT 3361_AR dig_11",0.2501,20,"N11",400240,6468269,5,5.57,174.3,44622,10,55,4832,0,172,15,60,83,50300,13,3552,80,47,5001,90,6,13061,65,25,409,27,3671,67,14,78,45,225
"N12","ENVT 3361_AR dig_12",0.2587,20,"N12",400240,6468277,5,5.98,432,42096,15,68,5676,0,150,24,56,104,65764,12,3636,72,41,6873,134,6,18085,58,24,436,28,4972,92,13,73,41,472
"N13","ENVT 3361_AR dig_13",0.2464,20,"N13",400260,6468210,5,7.74,415,42553,8,45,3785,0,129,11,77,249,34131,8,3796,64,33,4625,69,2,9370,47,27,502,64,2646,51,21,83,27,309
"N14","ENVT 3361_AR dig_14",0.2479,20,"N14",400260,6468218,5,7.54,4120,43836,9,48,6909,0,130,16,77,282,37738,9,4471,64,36,6045,115,2,17715,45,31,579,65,5338,70,21,84,29,532
"N15","ENVT 3361_AR dig_15",0.2534,20,"N15",400260,6468226,5,5.9,9700,40271,7,52,5443,0,134,16,66,245,37118,9,4191,67,36,5893,105,1,15499,47,24,476,52,4193,63,19,79,30,358
"N16","ENVT 3361_AR dig_16",0.2494,20,"N16",400260,6468234,5,6.42,6830,54517,7,77,4566,0,214,17,77,148,41587,13,4613,105,52,5652,92,1,13780,71,30,540,45,3572,65,19,91,52,315
"N17","ENVT 3361_AR dig_17",0.2447,20,"N17",400260,6468242,6,3.82,3320,48974,6,58,5443,0,177,15,72,203,33390,11,4298,86,45,5529,98,1,14008,61,29,437,48,3710,66,18,81,42,294
"N18","ENVT 3361_AR dig_18",0.2468,20,"N18",400260,6468250,6,5.71,2364,49015,6,50,5906,0,205,15,70,176,37939,13,4025,98,47,5956,98,2,15669,73,29,516,50,4503,70,16,84,50,294
"N19","ENVT 3361_AR dig_19",0.2474,20,"N19",400260,6468258,6,5.17,1455,50752,7,64,4819,0,182,19,73,188,41735,12,4144,91,50,6219,124,2,14767,64,31,501,41,3271,70,18,82,45,351
"N20","ENVT 3361_AR dig_20",0.2531,20,"N20",400260,6468266,6,NA,NA,46728,9,57,3787,0,200,22,66,185,45457,13,4044,101,49,6372,148,2,17603,70,31,480,42,2796,67,15,78,49,394
