Field_ID,Sample.ID,Easting,Northing,ICP_ID,microplastics_fibres,microplastics_fragments,microbeads,microplastics_Other,pH,EC,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn,Zone
AF_sed_1,ENVT3361.5,400440,6468317,ENVT3361,3000,NA,NA,NA,5.67,10.18,18988,23.5,49,2946,0.215,92.7,7.6,25.8,314,51813,20.6,6.7,1397,43.2,13.6,2646,60.3,2.8,10249,35,13,2060,116.2,14.4,3437,3,66,6,98.3,34.6,26.3,225.3,NW
AF_sed_2,ENVT3361.5,400472,6468321,ENVT3361,2000,NA,NA,NA,6.33,0.12,6068,25.1,23,2152,0.165,11.7,7.3,13.8,149,43494,16.3,2,348,6.2,2.9,527,70,1.2,221,5.9,7,547,57.2,3.5,919,0.9,15.8,2.2,61.5,17.8,3.2,144.3,NW
AF_sed_3,ENVT3361.5,400389,6468265,ENVT3361,NA,NA,8500,NA,5.49,5.58,35628,3.2,118,1192,0.078,217.8,7.7,54.2,141,37073,17.6,13.5,3194,93.4,51.5,3028,45.4,2,7564,78.5,22,602,36.7,48.9,1468,8.9,103.2,19.9,188.5,70,53.4,81.7,NW
AF_sed_4,ENVT3361.5,400447,6468269,ENVT3361,NA,NA,NA,NA,4.43,17.1,29508,4.6,93,779,0.078,98,5,56.2,58,39619,17.1,7.9,3765,40.6,21.5,4832,50.5,1.1,21611,44.5,16,386,26.8,59.2,3687,8.5,76.3,16.8,225.4,72.1,18.9,21.9,NW
AF_sed_5,ENVT3361.5,400475,6468289,ENVT3361,3000,1500,500,NA,5.25,3.12,30408,12.8,191,1951,0.298,112.1,16,66.9,140,69310,28.8,8.2,2713,56.3,19.2,3217,337.9,4.6,6319,44.9,50,402,91.5,49.4,1662,8.2,58.5,15.3,247.7,73.3,24,164.8,NW
AF_sed_6,ENVT3361.5,400517,6468291,ENVT3361,NA,500,NA,NA,6.73,0.22,28926,7,104,2998,0.259,85.6,13.4,52.2,155,39010,17.6,6.1,2799,46.5,15.6,2842,375.4,3.2,1826,35.3,19,648,72.3,36.4,1620,7.7,111.7,14.7,187.6,65.9,17.5,172.7,NW
AF_sed_7,ENVT3361.6,400331,6468227,ENVT3361,5,36,NA,87,6.06,11.34,33250,22.1,98,2374,0.213,140.2,9.5,53.5,282,56920,26.5,8.7,3498,71.9,36.2,3856,55.9,5.7,15158,47.5,20,2412,629.7,47.1,2779,7.1,165.6,14.8,162.8,63.6,36.1,295.9,NW
AF_sed_8,ENVT3361.6,400368,6468205,ENVT3361,2,13,NA,9,6.3,12.21,33208,8.3,72,1890,0.147,139.2,16.1,66.6,144,50323,21.7,8.5,3940,80.9,34,5398,97.6,1.4,16737,50,33,926,54.6,64.6,2758,10,45.9,23.9,284.1,80.6,31,133.9,NW
AF_sed_9,ENVT3361.6,400432,6468225,ENVT3361,3,39,NA,43,6.41,13.36,29753,5,82,3301,0.114,159.8,12.6,56.4,170,32387,15.3,10.5,3754,75.6,35.8,4854,113.4,1.7,17533,62.3,28,1061,137.9,52,2870,8,133.5,15.4,183.4,66.1,40.9,208.7,NW
AF_sed_13,ENVT3361.3,400380,6468248,ENVT3361,1501.5,NA,NA,NA,7.61,3.27,12406,NA,26,2704,0.089,17.7,3.3,21.2,38,12229,4.8,1.4,1065,9.6,4.7,1510,2014.2,0.3,4117,7.3,6,81,15.3,8.5,380,1.5,25.6,6.1,134.8,13.7,3,65.2,N_transect
