PLOT,Rel.To.Brook,Transect,UTM_EASTING,UTM_NORTHING,PH,MOISTURE.pct,OM.pct,Cd,Cu,Ni,Cr,Co,Zn,Mn,Ca.pct,Ca,Mg.pct,Mg,Al.pct,Al,Fe.pct,Fe,P,S,B,Ti.pct,Ti,K.pct,K,Na.pct,Na,EXCH_Al,EXCH_As,EXCH_B,EXCH_Ca,EXCH_Cd,EXCH_Co,EXCH_Cr,EXCH_Cu,EXCH_Fe,EXCH_K,EXCH_Mg,EXCH_Mn,EXCH_Mo,EXCH_Ni,EXCH_P,EXCH_Pb,EXCH_Se,EXCH_Sr,EXCH_V,EXCH_Zn,SUM_BC,GRAVEL,SANDSILTCLAY,VERYCOARSESAND,COARSESAND,MEDIUMSAND,FINESAND,VERYFINESAND,SILTCLAY,DATE
1,North,E280000,280000,4868400,4.29,4.74,12.198,0.498,22.118,12.254,21.121,14.446,47.623,490.474,0.295,2945,0.298,2989,4.408,44086,3.934,39347,801.317,348.303,33.076,0.603,6035,1.408,14082,0.856,8568,0.65607484,1.66E-05,NA,0.144564457,6.46E-05,0.001536595,6.29E-05,0.000211341,0.036849622,0.044232988,0.021233084,0.019810167,3.80E-05,0.001931227,NA,0.001640969,NA,0.001432915,1.51E-05,0.010134314,0.010362375,8.729,91.27,3.453,13.851,17.763,11.543,7.059,37.809,1997/1998
2,North,E280000,280000,4868500,4.66,7.473,10.465,0.207,27.132,20.504,28.167,16.983,63.066,453.058,0.321,3205,0.502,5024,4.326,43265,4.368,43681,607.46,1596.629,26.096,0.574,5746,1.458,14588,1.139,11391,0.522804561,8.43E-05,0.002200239,0.06574766,8.35E-05,0.000799258,3.03E-05,0.000693784,0.020447324,0.033659221,0.013594815,0.005943741,4.17E-06,0.003249119,NA,0.00122658,NA,0.000742137,NA,0.002559458,0.005428104,10.829,89.17,3.307,15.619,19.923,12.81,8.009,29.4,1997/1998
3,North,E280000,280000,4868700,4.23,5.554,14.884,1.359,18.612,14.429,19.553,13.07,47.47,578.315,0.247,2471,0.331,3311,4.819,48199,4.477,44776,1082.601,649.728,20.493,0.483,4839,1.647,16473,0.679,6796,0.610415974,NA,NA,0.052161053,0.000101376,0.001188706,5.65E-05,9.57E-05,0.04142475,0.04298543,0.015457774,0.019402468,4.46E-05,0.001844174,NA,0.001598887,NA,0.000438727,2.30E-05,0.003353882,0.005165036,12.945,87.054,2.995,13.403,20.373,12.22,5.453,32.33,1997/1998
5,North,E280000,280000,4869000,4.15,3.766,9.141,0.913,7,8.725,21.305,11.059,18.16,261.245,0.158,1579,0.163,1637,3.158,31588,1.868,18682,515.387,NA,28.204,0.472,4726,1.683,16838,0.892,8928,0.659031709,NA,0.00098722,0.02502458,8.97E-05,0.001600777,3.05E-05,0.000589903,0.067014477,0.037486654,0.013158922,0.003830305,1.30E-05,0.001839088,NA,0.002185409,4.56E-05,0.000279118,1.37E-05,0.002910185,0.003507182,7.61,92.389,2.804,13.356,18.29,13.052,8.565,36.491,1997/1998
6,North,E280000,280000,4869100,4.49,4.816,12.008,0.099,16.965,10.615,22.818,11.409,31.946,334.733,0.237,2373,0.218,2184,3.484,34840,2.328,23288,442.176,7.242,27.778,0.515,5159,1.848,18482,0.833,8334,0.51045002,NA,NA,0.171919988,5.51E-05,0.00035173,4.11E-06,0.000354809,0.014300108,0.052432691,0.031198718,0.01892779,NA,0.002131699,NA,0.001988362,NA,0.001511296,NA,0.004167195,0.012668799,11.694,88.305,2.546,16.069,20.652,12.674,4.62,31.703,1997/1998
7,North,E280000,280000,4869300,4.79,3.045,4.953,0.1,4.392,8.883,12.776,10.181,26.45,687.208,0.411,4109,0.237,2372,3.777,37772,1.626,16268,695.591,NA,15.97,0.308,3085,2.105,21058,1.177,11778,0.18326225,NA,0.000798835,0.117006502,6.33E-05,0.000114832,4.59E-06,0.000102447,0.000556623,0.022269665,0.012964847,0.02571571,NA,0.00139976,NA,0.000870737,3.35E-05,0.000987411,7.72E-06,0.002582947,0.007693843,10.031,89.968,3.696,19.102,24.092,12.565,6.191,24.465,1997/1998
8,North,E280000,280000,4869400,4.11,4.166,9.839,1.133,11.534,6.488,15.86,12.358,27.806,357.774,0.463,4628,0.292,2926,4.484,44849,2.957,29574,577.031,46.755,15.242,0.419,4193,1.777,17773,0.999,9990,0.576027888,0.000180846,0.00261421,0.08158034,6.88E-05,0.001299914,2.16E-05,0.00029699,0.046100246,0.038283443,0.021025508,0.008172361,NA,0.002506273,NA,0.002272473,2.04E-05,0.000747053,2.72E-06,0.004054931,0.00697363,23.879,76.12,3.352,14.148,18.539,12.024,5.886,22.232,1997/1998
9,North,E280000,280000,4869600,4.52,4.497,10.29,0.307,10.648,7.782,20.068,12.594,25.904,329.794,0.325,3249,0.255,2558,3.372,33720,2.815,28151,590.578,9.317,18.02,0.511,5113,1.595,15959,0.942,9420,0.580133644,NA,NA,0.08557845,5.24E-05,0.000445198,NA,0.000119052,0.014915913,0.029118652,0.015534477,0.003491629,4.20E-06,0.001905624,NA,0.001755254,NA,0.000783607,NA,0.001998877,0.006507427,15.712,84.287,3.095,15.085,21.311,13.128,6.724,25.083,1997/1998
10,North,E280000,280000,4869700,4.51,2.296,9.161,1.097,6.982,10.274,22.543,8.379,24.339,275.105,0.433,4333,0.288,2880,3.978,39782,2.278,22783,532.355,NA,15.859,0.351,3514,1.821,18214,0.857,8578,0.54533304,9.20E-05,0.000897304,0.053107339,2.76E-05,0.000576966,NA,0.000257314,0.020153383,0.021923321,0.009064073,0.001280208,0.000258138,0.001381038,NA,0.001525989,6.99E-05,0.00058319,NA,0.0010012,0.004320033,13.534,86.465,2.787,15.487,19.118,11.185,5.575,32.327,1997/1998
11,North,E280000,280000,4869900,4.43,2.995,8.634,0.635,4.08,5.259,9.883,8.069,16.502,382.527,0.383,3834,0.171,1711,3.976,39764,1.674,16743,380.804,NA,17.77,0.286,2866,1.679,16799,0.879,8795,0.528879908,2.59E-05,0.000665809,0.064606062,0.000080176,0.000920281,NA,0.000209155,0.033297654,0.023428947,0.009400944,0.002585384,NA,0.001838051,NA,0.00148523,NA,0.000641315,NA,0.003053612,0.004821839,11.08,88.919,4.442,18.734,23.048,12.98,5.753,23.996,1997/1998
