"Sample","Group","Core","range","Type","Easting","Northing","Depth_upper","Depth_lower","pH","EC","Microplastics_fragments","Microplastics_fibres","Microplastics_other","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Depth_lower.log","Depth_lower.pow","pH.pow","EC.pow","Cr.pow","Cu.pow","Fe.pow","Al.pow","As.log","Ba.log","Ca.pow","Cd.pow","Ce.log","Gd.log","K.log","La.log","Mg.pow","Mn.pow","Mo.pow","Na.log","Nd.log","Ni.pow","P.pow","Pb.log","S.pow","Sr.pow","Th.log","V.pow","Y.pow","Zn.log","pH.log","EC.log","Al.log","As.pow","Ba.pow","Ca.log","Cd.log","Ce.pow","Cr.log","Cu.log","Fe.log","Gd.pow","K.pow","La.pow","Mg.log","Mn.log","Mo.log","Na.pow","Nd.pow","Ni.log","P.log","Pb.pow","S.log","Sr.log","Th.pow","V.log","Y.log","Zn.pow"
"02.1.1","2","2.1","0-10","Soil",391352,6466375,0,10,6.83,164.4,"1749",NA,NA,2942,2.6,7.5,2038,0.02,4.4,8,NA,2196,0.28,101,1.4,171,29.5,0.15,141,1.02,0.79,154,7.2,226,11.6,1.09,4.9,0.84,17.2,1,1.10089730326019,776.633230754504,2.49801887070477,2.14382104109763,NA,5.08812602780181,42.6923038122628,0.414973347970818,0.8750612633917,3.28759393256437,-2.05407356338647,0.643452676486187,-0.552841968657781,2.00432137378264,0.146128035678238,3.14426490286356,2.7758429807986,-1.98875875232684,2.14921911265538,0.00860017176191757,-1.12331216049706,11.1947402227035,0.857332496431269,-0.373121763629888,1.05061925645185,0.0374264979406237,2.05220731803777,0.956803235231158,1.23552844690755,0.834420703681533,2.21590181320403,3.46864266839151,-0.86174739667264,-0.857085321852395,3.30920417967041,-1.69897000433602,1.00532967810168,0.903089986991944,NA,3.34163233577805,-1.53124456752887,-0.617706793876332,1.00870805104034,2.23299611039215,1.46982201597816,-0.823908740944319,2.83564443605466,1.00244188610055,-0.102372908709559,2.18752072083646,-0.828496704504614,2.3541084391474,1.06445798922692,-0.986178943931366,0.690196080028514,-0.0757207139381184,-0.771739751696198
"02.1.2","2","2.1","10-20","Soil",391352,6466375,10,20,8.35,80.9,"0",NA,NA,2987,2.7,4.3,9753,0.04,2.9,11.9,6.8,3593,0.32,56,1.3,364,13.9,0.14,71,0.79,0.96,69,61.5,105,58.9,1.56,8.1,0.67,31.5,1.30102999566398,1.13321900474121,1557.69301341034,2.19958195796242,2.47989537122051,-0.715324396755865,5.64636816362954,42.9980002805278,0.431363764158987,0.633468455579587,4.1983617510275,-1.80811270239322,0.462397997898956,-0.494850021680094,1.7481880270062,0.113943352306837,3.72067810686835,2.2121183921218,-2.03911015719832,1.85125834871908,-0.102372908709559,-1.02034157820275,7.6174634576577,1.78887511577542,-0.428943090799106,1.08558054016215,0.193124598354462,2.57612969365886,0.903547379695503,1.4983105537896,0.921686475483602,1.90794852161227,3.47523522260413,-0.856697796489745,-0.894365888962569,3.98913822421579,-1.39794000867204,1.00382714822176,1.07554696139253,0.832508912706236,3.55545721720465,-1.46431253457235,-0.656928970504541,1.00678361520369,2.56110138364906,1.1430148002541,-0.853871964321762,2.4541302026372,0.971385596812889,-0.0177287669604316,1.83884909073726,-0.67531885585858,2.02118929906994,1.7701152947871,-0.930702583109739,0.90848501887865,-0.173925197299174,-0.730360492204692
"02.1.3","2","2.1","20-30","Soil",391352,6466375,20,30,9.07,49.4,NA,NA,NA,1205,0.6,1.9,1974,NA,1.4,2.2,NA,1349,NA,26,0.6,78,5,0.06,11,NA,NA,20,4.5,NA,9.8,1.24,3.7,0.19,5.5,1.47712125471966,1.1525641243243,2074.44634653696,2.01327321159952,1.33529136220672,NA,4.58999960191274,28.0634891469649,-0.221848749616356,0.278753600952829,3.27125036206721,NA,0.146128035678238,NA,1.41497334797082,-0.221848749616356,2.63976406579855,1.6250071633763,-2.77200744543571,1.04139268515823,NA,NA,4.20631768578753,0.653212513775344,NA,1.0470561508807,0.0934216851622351,1.80732033274186,0.656649969324444,0.740362689494244,0.957607287060095,1.69372694892365,3.08098704691089,-1.08279560714133,-0.952060608328526,3.29534714833362,NA,1.0012078842212,0.342422680822206,NA,3.1300119496719,NA,-0.711705714507887,0.986923091302496,1.89209460269048,0.698970004336019,-1.22184874961636,1.65702861495901,NA,NA,1.30102999566398,-0.866452405781295,NA,0.991226075692495,-0.96585661814653,0.568201724066995,-0.721246399047171,-0.856188608384141
"02.1.4","2","2.1","30-40","Soil",391352,6466375,30,40,8.78,63,NA,NA,NA,2089,1.7,4.5,2935,0.01,1.7,5.9,NA,2793,0.27,51,1,129,11,0.15,34,0.66,0.6,50,12.9,63,15.1,1.25,6.8,0.38,14.2,1.60205999132796,1.16648965248955,1853.61375488867,2.10306547654645,1.91731354217139,NA,5.3535326397666,36.3458517800971,0.230448921378274,0.653212513775344,3.48032602434801,-2.33349292785712,0.230448921378274,-0.568636235841013,1.70757017609794,0,2.95288521792012,2.06135342647552,-1.98875875232684,1.53147891704226,-0.180456064458131,-1.28658291898525,6.52727787580364,1.11058971029925,-0.470704159545683,1.0562155086972,0.0969100130080564,2.38011925167934,0.782661776301569,1.15228834438306,0.943494515906103,1.79934054945358,3.31993843998031,-0.920691827990653,-0.891259238873905,3.46760810558363,-2,1.00190553854873,0.770852011642144,NA,3.446070935701,-1.54999801087887,-0.663373683551931,1,2.11058971029925,1.04139268515823,-0.823908740944319,2.10159075597712,0.950112140232505,-0.221848749616356,1.69897000433602,-0.783707078576843,1.79934054945358,1.17897694729317,-0.964604547087341,0.832508912706236,-0.42021640338319,-0.785330004912396
"02.1.5","2","2.1","40-50","Soil",391352,6466375,40,50,8.49,123.3,NA,NA,NA,4421,2,14.5,15261,0.06,3,8.2,12.7,3875,NA,76,1.7,588,15.3,0.19,127,0.6,1.08,90,27.1,130,93.1,2.8,10.1,0.56,38.9,1.69897000433602,1.17740689397193,1650.0392649278,2.37234669589808,2.16332252624833,-0.641341060629135,5.73729946026793,51.6995357237408,0.301029995663981,1.16136800223497,4.50247160303908,-1.67812433090273,0.477121254719662,NA,1.88081359228079,0.230448921378274,4.14025115650403,2.27709304482982,-1.82548207678641,2.10380372095596,-0.221848749616356,-0.962746819528753,8.65260114340795,1.43296929087441,-0.412600921050042,1.09564008773881,0.447158031342219,2.8465632025246,0.863425716120392,1.58994960132571,0.928907690243953,2.09096307659573,3.64552051490587,-0.897683702361961,-0.814911689705553,4.18358299235102,-1.22184874961636,1.00394924911493,0.913813852383717,1.10380372095596,3.58827170684233,NA,-0.636318462458774,1.01376735559084,2.76937732607614,1.1846914308176,-0.721246399047171,2.77387404963584,0.939024463678753,0.0334237554869497,1.95424250943932,-0.730178354254113,2.11394335230684,1.96894968098134,-0.846808546759216,1.00432137378264,-0.2518119729938,-0.716458428277669
"02.1.6","2","2.1","50-60","Soil",391352,6466375,50,60,8.97,98.2,NA,NA,NA,2743,2.3,21,23962,0.15,1.8,7.9,42.3,4146,NA,74,1.5,926,19,0.18,146,NA,1.49,120,106.4,184,140.9,1.67,7.4,0.66,85.8,1.77815125038364,1.18640273347869,1996.29556167606,2.27741079564659,2.13395438315626,-0.519715542709925,5.81989185983245,41.3097816223609,0.361727836017593,1.32221929473392,4.831207220048,-1.41775726529941,0.255272505103306,NA,1.86923171973098,0.176091259055681,4.5811131383462,2.43083850888416,-1.86160292782233,2.16435285578444,NA,-0.821423976502395,9.9325416893555,2.02694162795903,-0.387338047093314,1.10482513885475,0.222716471147583,2.47292455004371,0.900112710262213,1.93348728784871,0.952792443044092,1.99211148778695,3.43822580760453,-0.878357711873979,-0.792135029512416,4.37952306383055,-0.823908740944319,1.0021110165783,0.897627091290441,1.62634036737504,3.61762929775784,NA,-0.63809226190679,1.01050296421091,2.96661098668193,1.27875360095283,-0.744727494896694,2.85653220248986,NA,0.173186268412274,2.07918124604762,-0.640943326736565,2.26481782300954,2.14891099310936,-0.920517215004996,0.869231719730976,-0.180456064458131,-0.666656875594994
"02.2.1","2","2.2","0-10","Soil",391367,6466285,0,10,8.28,205.6,"250",NA,NA,4800,2.4,5.2,10241,0.02,5.6,8.2,3.1,3453,0.3,102,1.9,325,23.6,0.19,114,1.34,1.05,142,18,139,57.2,2.22,9.4,0.95,13.9,1,1.10089730326019,1512.92695275872,2.60029148413543,2.16332252624833,-0.820587850688021,5.59911756782472,53.7373547271626,0.380211241711606,0.716003343634799,4.23050116159681,-2.05407356338647,0.7481880270062,-0.522878745280338,2.00860017176192,0.278753600952829,3.62790708696681,2.59513806904762,-1.82548207678641,2.05690485133647,0.127104798364808,-0.97621918549103,10.7675902329578,1.25527250510331,-0.40760816368005,1.08494019163581,0.346352974450639,2.7555604535786,0.987093247893037,1.1430148002541,0.91803033678488,2.31302311032324,3.68124123737559,-0.872555712803955,-0.881450897202655,4.01034236613957,-1.69897000433602,1.00619987852644,0.913813852383717,0.491361693834273,3.53819657834945,-1.49628877288173,-0.617071861527594,1.0166770899316,2.51188336097887,1.37291200297011,-0.721246399047171,2.71149784342263,1.03670296890314,0.0211892990699381,2.15228834438306,-0.759214655788925,2.14301480025409,1.75739602879302,-0.879154020415081,0.973127853599699,-0.0222763947111523,-0.78685879622382
"02.2.2","2","2.2","10-20","Soil",391367,6466285,10,20,8.75,71.6,"500",NA,NA,4241,2.6,6.2,11793,0.03,5.4,7.4,4,3643,NA,61,2.4,356,29.7,0.16,87,1.54,0.9,146,16,137,69.5,3.14,10.3,0.8,15,1.30102999566398,1.13321900474121,1831.76823372614,2.15190985261758,2.08339563085919,-0.784835110849012,5.66289163518993,50.6992615204565,0.414973347970818,0.792391689498254,4.32477676343186,-1.90640263719207,0.732393759822969,NA,1.78532983501077,0.380211241711606,3.70230111017833,2.78150672275502,-1.94278426316682,1.93951925261862,0.187520720836463,-1.05334861224041,10.9119908375374,1.20411998265592,-0.408683991525908,1.08920590181103,0.496929648073215,2.87192511963448,0.945052943186019,1.17609125905568,0.942008053022313,1.85491302230786,3.62746827245971,-0.86174739667264,-0.869663952538609,4.07162429853975,-1.52287874528034,1.00606860262359,0.869231719730976,0.602059991327962,3.56145917124192,NA,-0.651090608788351,1.02281582610373,2.55144999797288,1.47275644931721,-0.795880017344075,2.56145319054078,1.05461810339223,-0.0457574905606751,2.16435285578444,-0.767785210613197,2.13672056715641,1.84198480459011,-0.831279855305749,1.01283722470517,-0.0969100130080564,-0.781419555061428
"02.2.3","2","2.2","20-30","Soil",391367,6466285,20,30,8.97,122.6,NA,NA,NA,8192,3.9,28.2,31042,0.12,4.4,10.7,15.1,7268,0.41,101,2.5,825,27.5,0.19,175,1.33,2.14,191,125.5,244,159.3,4.44,20.3,1.44,49.5,1.47712125471966,1.1525641243243,1996.29556167606,2.36992445010351,2.3850858647763,-0.622230187225474,6.55331696820897,69.0863159924908,0.591064607026499,1.45024910831936,5.03055662762454,-1.47718074609651,0.643452676486187,-0.387216143280265,2.00432137378264,0.397940008672038,4.46473676821839,2.71767370996375,-1.82548207678641,2.24303804868629,0.123851640967086,-0.687079820852321,12.4124501208103,2.09864372581706,-0.367957438196049,1.10756051609282,0.64738297011462,3.90361283730699,1.09674986411247,1.69460519893357,0.952792443044092,2.0884904701824,3.91338994363176,-0.809019318368866,-0.774461796733609,4.49194969457655,-0.920818753952375,1.00532967810168,1.02938377768521,1.17897694729317,3.861414918636,-1.34774302969287,-0.617706793876332,1.02389231047102,2.91645394854993,1.43933269383026,-0.721246399047171,2.967639795226,1.03574699140325,0.330413773349191,2.28103336724773,-0.630936956199572,2.38738982633873,2.20221577580113,-0.78604872370949,1.30749603791321,0.15836249209525,-0.700905070065366
"02.2.4","2","2.2","30-40","Soil",391367,6466285,30,40,9.3,92.8,NA,NA,NA,10353,4,11.3,21992,0.04,3.8,12.7,8.3,9574,0.52,106,2.2,594,30.8,0.25,149,1.38,2.03,151,37.5,192,108.9,5.33,30.4,1.16,25.8,1.60205999132796,1.16648965248955,2262.41705110054,2.25441561281837,2.53977888000314,-0.690833526951348,6.94650110181381,77.1227394746218,0.602059991327962,1.05307844348342,4.76690100769713,-1.80811270239322,0.57978359661681,-0.283996656365201,2.02530586526477,0.342422680822206,4.14962693371199,2.81219027925545,-1.65266477159935,2.17318626841227,0.139879086401236,-0.705200304677567,11.0896259706735,1.57403126772772,-0.384351447491003,1.09910571908043,0.726727209026572,4.68599234006803,1.03830493241104,1.41161970596323,0.968482948553935,1.96754797621886,4.01506621401115,-0.805836029486278,-0.830613291155263,4.34226472683541,-1.39794000867204,1.00480104728758,1.10380372095596,0.919078092376074,3.98109342314593,-1.24468074855449,-0.614599139833672,1.02052509388995,2.77378644498119,1.48855071650044,-0.602059991327962,2.86879522166184,1.04046538218057,0.307496037913213,2.17897694729317,-0.707921096725833,2.28330122870355,2.03702787975578,-0.763195137899738,1.48287358360875,0.0644579892269184,-0.743760103612089
